attraction_id,attraction_name,nearest_station_id,nearest_station_name,distance_to_station_m,access_walk_time_min,pressure_score
P0001,Ueno Zoological Gardens,G16,Ueno,441.1,7.3517,0.91079
P0002,National Museum of Nature and Science,G16,Ueno,470.4,7.84,0.796609
P0003,Shibuya Scramble Crossing,Z01,Shibuya,49.2,0.82,0.79153
P0004,teamLab Planets TOKYO,Y22,Toyosu,855.9,14.265,0.787602
P0005,Tokyo National Museum,G16,Ueno,804.2,13.4033,0.761058
P0006,Tokyo Metropolitan Ueno Park,G16,Ueno,441.1,7.3517,0.753808
P0007,Shibuya Sky,F16,Shibuya,93.9,1.565,0.730684
P0008,Kabukicho / Shinjuku Entertainment District,M08,Shinjuku,217.2,3.62,0.72929
P0009,Ameyoko Shopping Street,G16,Ueno,220.3,3.6717,0.727184
P0010,Kabuki-za Theatre / Higashi-Ginza,H10,HigashiGinza,66.1,1.1017,0.726242
P0011,Tokyo Tower,H05,Kamiyacho,456.2,7.6033,0.724628
P0012,Omotesando / Aoyama Shopping District,F15,MeijiJingumae,275.2,4.5867,0.722915
P0013,Akihabara Electric Town,G14,Suehirocho,249.1,4.1517,0.722721
P0014,Tsukiji Hongwanji Temple,H11,Tsukiji,180.2,3.0033,0.721095
P0015,Art Aquarium Museum GINZA,G09,Ginza,33.6,0.56,0.715604
P0016,Meiji Shrine (Meiji Jingu),C03,MeijiJingumae,587.6,9.7933,0.714406
P0017,Hibiya Park,C09,Hibiya,235.4,3.9233,0.714174
P0018,Senso-ji / Kaminarimon,G19,Asakusa,343.1,5.7183,0.709748
P0019,Kokyo Gaien National Garden / Imperial Palace Plaza,C10,Nijubashimae,351.1,5.8517,0.706834
P0020,Tokyo International Forum / Marunouchi,Y18,Yurakucho,211.0,3.5167,0.701546
P0021,Sunshine Aquarium,Y10,HigashiIkebukuro,376.7,6.2783,0.699392
P0022,Nihonbashi / Mitsukoshimae District,Z09,Mitsukoshimae,257.8,4.2967,0.697896
P0023,Yoyogi Park,C02,YoyogiKoen,596.6,9.9433,0.695667
P0024,Nakamise Shopping Street,G19,Asakusa,215.7,3.595,0.686732
P0025,Yoyogi Park Rockers,C03,MeijiJingumae,255.0,4.25,0.686576
P0026,Koishikawa Korakuen Gardens,M22,Korakuen,250.9,4.1817,0.682863
P0027,Kaminarimon,G19,Asakusa,134.0,2.2333,0.682475
P0028,Tsukiji Outer Market,H11,Tsukiji,316.8,5.28,0.679684
P0029,teamLab Borderless / Azabudai Hills,H05,Kamiyacho,332.4,5.54,0.678109
