attraction_id,attraction_name,nearest_station_id,nearest_station_name,distance_to_station_m,pressure_score,lat,lon,category,type,popularity_score,rating,review_count,source_name,original_name,nearest_metro_line,source_url,google_place_id,google_maps_uri,google_website_uri,google_types,include_in_model,exclude_reason,mapping_confidence,visitor_count_score,official_recognition_score,attraction_scale_score,metro_access_score,opening_availability_score,mapping_confidence_score,penalty_score,attraction_score,scoring_note,data_quality_note,osm_type,osm_id,tourism,historic,leisure,amenity,wikidata,wikipedia,google_match_distance_m
P0001,Ueno Zoological Gardens,G16,Ueno,441.1,0.91079,35.7153093,139.7732671,zoo,zoo|point_of_interest|establishment,18.187,4.2,39709.0,curated_representative,恩賜上野動物園,Ginza,https://www.tokyo-zoo.net/english/ueno/,ChIJf2129yiMGGAR9I6Yoe-1uHY,https://maps.google.com/?cid=8554787533003198196&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.tokyo-zoo.net/ueno/,zoo|point_of_interest|establishment,True,NA,high,20,20,20,12,5,5,0,100.187,"score=100.2/110; visitor=20, google=18.2, official=20, scale=20, metro=12, opening=5, mapping=5, penalty=0",Official source gives average annual visitors before COVID rather than a single-year count. Ueno tourism cluster; aggregate with cap to avoid over-amplifying one station.,NA,NA,NA,NA,NA,NA,NA,NA,85.9
P0002,National Museum of Nature and Science,G16,Ueno,470.4,0.796609,35.7159919,139.7765927,museum,tourist_attraction|museum|store|point_of_interest|establishment,17.627,4.5,28661.0,curated_representative,国立科学博物館,Ginza,https://www.kahaku.go.jp/english/,ChIJ8Vuh65yOGGARyj4L5IBFiIk,https://maps.google.com/?cid=9910247399912849098&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.kahaku.go.jp/,tourist_attraction|museum|store|point_of_interest|establishment,True,NA,high,16,20,12,12,5,5,0,87.627,"score=87.6/110; visitor=16, google=17.6, official=20, scale=12, metro=12, opening=5, mapping=5, penalty=0",Ueno tourism cluster; aggregate with cap to avoid over-amplifying one station.,NA,NA,NA,NA,NA,NA,NA,NA,53.8
P0003,Shibuya Scramble Crossing,Z01,Shibuya,49.2,0.79153,35.6595216,139.7004973,public_landmark,tourist_attraction|point_of_interest|establishment,17.068,4.5,20702.0,curated_representative,渋谷スクランブル交差点,Hanzomon,https://www.gotokyo.org/en/spot/78/index.html,ChIJK9EM68qLGGARacmu4KJj5SA,https://maps.google.com/?cid=2370410330085837161&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://play-shibuya.com/,tourist_attraction|point_of_interest|establishment,True,NA,high,0,20,20,15,10,5,0,87.068,"score=87.1/110; visitor=0, google=17.1, official=20, scale=20, metro=15, opening=10, mapping=5, penalty=0",Open public area; surrounding facility hours vary. Commercial district; store hours vary and opening hours are coarse modeling assumptions. No reliable annual visitor count found; included as representative tourism proxy.,NA,NA,NA,NA,NA,NA,NA,NA,7.1
P0004,teamLab Planets TOKYO,Y22,Toyosu,855.9,0.787602,35.64938,139.789728,digital_art_museum,tourist_attraction|art_museum|museum|amusement_park|amusement_center|point_of_interest|establishment,18.636,4.5,51585.0,curated_representative,チームラボプラネッツ TOKYO,Yurakucho,https://www.teamlab.art/e/planets/,ChIJSeco5wiJGGARItbTS8lQ5G0,https://maps.google.com/?cid=7918542870314997282&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.teamlab.art/jp/e/planets/,tourist_attraction|art_museum|museum|amusement_park|amusement_center|point_of_interest|establishment,True,NA,high,12,15,20,8,8,5,0,86.636,"score=86.6/110; visitor=12, google=18.6, official=15, scale=20, metro=8, opening=8, mapping=5, penalty=0",Kept as representative tourism cluster.,NA,NA,NA,NA,NA,NA,NA,NA,29.1
P0005,Tokyo National Museum,G16,Ueno,804.2,0.761058,35.7190658,139.7758162,museum,tourist_attraction|art_museum|museum|point_of_interest|establishment,17.716,4.5,30193.0,curated_representative,東京国立博物館,Ginza,https://www.tnm.jp/?lang=en,ChIJEX3XFIOOGGAR3XdJvRjWLyM,https://maps.google.com/?cid=2535480516976146397&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.tnm.jp/,tourist_attraction|art_museum|museum|point_of_interest|establishment,True,NA,medium,16,15,20,8,4,3,0,83.716,"score=83.7/110; visitor=16, google=17.7, official=15, scale=20, metro=8, opening=4, mapping=3, penalty=0","Nearest station adjusted from geometric nearest station to likely tourist access station. Ueno tourism cluster; aggregate with cap to avoid over-amplifying one station. Opening hours are coarse modeling assumptions for a district, facility, or variable schedule. Opening hours are coarse modeling assumptions for a district, commercial area, or variable facility schedule.",NA,NA,NA,NA,NA,NA,NA,NA,68.6
P0006,Tokyo Metropolitan Ueno Park,G16,Ueno,441.1,0.753808,35.7153093,139.7732671,park_museum_cluster,park|state_park|point_of_interest|establishment,17.919,4.4,33972.0,curated_representative,上野恩賜公園,Ginza,https://www.gotokyo.org/en/spot/482/index.html,ChIJw2qQRZuOGGARWmROEiM2y7E,https://maps.google.com/?cid=12811393089244390490&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.kensetsu.metro.tokyo.lg.jp/jimusho/toubuk/ueno,park|state_park|point_of_interest|establishment,True,NA,high,0,20,20,12,8,5,0,82.919,"score=82.9/110; visitor=0, google=17.9, official=20, scale=20, metro=12, opening=8, mapping=5, penalty=0",Ueno tourism cluster; aggregate with cap to avoid over-amplifying one station. No reliable annual visitor count found; included as representative tourism proxy.,NA,NA,NA,NA,NA,NA,NA,NA,63.3
P0007,Shibuya Sky,F16,Shibuya,93.9,0.730684,35.6582857,139.7022617,observation_deck,observation_deck|tourist_attraction|point_of_interest|establishment,17.375,4.6,24753.0,curated_representative,渋谷スカイ,Fukutoshin,https://www.shibuya-scramble-square.com/en/,ChIJ4Rr2JWiLGGARcyRSHuZ-9G8,https://maps.google.com/?cid=8067212359343678579&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.shibuya-scramble-square.com/sky/,observation_deck|tourist_attraction|point_of_interest|establishment,True,NA,high,0,15,20,15,8,5,0,80.375,"score=80.4/110; visitor=0, google=17.4, official=15, scale=20, metro=15, opening=8, mapping=5, penalty=0",Kept as representative tourism cluster. No reliable annual visitor count found; included as representative tourism proxy.,NA,NA,NA,NA,NA,NA,NA,NA,49.7
P0008,Kabukicho / Shinjuku Entertainment District,M08,Shinjuku,217.2,0.72929,35.6943326,139.7011998,entertainment_district,tourist_attraction|ramen_restaurant|japanese_restaurant|bar|restaurant|food|point_of_interest|establishment,16.222,4.3,12647.0,curated_representative,歌舞伎町 / 新宿歓楽街,Marunouchi,https://www.gotokyo.org/en/see-and-do/nightlife/index.html,ChIJr7mGZdmMGGARjxoMFeHApXE,https://maps.google.com/?cid=8189163570396404367&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://goldengai.jp/,tourist_attraction|ramen_restaurant|japanese_restaurant|bar|restaurant|food|point_of_interest|establishment,True,NA,high,0,20,20,15,4,5,0,80.222,"score=80.2/110; visitor=0, google=16.2, official=20, scale=20, metro=15, opening=4, mapping=5, penalty=0","Overlaps with nearby Shinjuku nightlife cluster; avoid double-counting in station-level aggregation. Opening hours are coarse modeling assumptions for a district, facility, or variable schedule. No reliable annual visitor count found; included as representative tourism proxy. Opening hours are coarse modeling assumptions for a district, commercial area, or variable facility schedule.",NA,NA,NA,NA,NA,NA,NA,NA,322.5
P0009,Ameyoko Shopping Street,G16,Ueno,220.3,0.727184,35.7100592,139.7745428,market_shopping_street,tourist_attraction|market|point_of_interest|establishment,15.99,4.3,11051.0,curated_representative,アメ横商店街,Ginza,https://www.gotokyo.org/en/spot/71/index.html,ChIJh7eDrwCPGGARCs9fpCkKS2U,https://maps.google.com/?cid=7298938795051699978&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://www.ameyoko.net/,tourist_attraction|market|point_of_interest|establishment,True,NA,high,0,20,20,15,4,5,0,79.99,"score=80.0/110; visitor=0, google=16.0, official=20, scale=20, metro=15, opening=4, mapping=5, penalty=0","Ueno tourism cluster; aggregate with cap to avoid over-amplifying one station. Opening hours are coarse modeling assumptions for a district, facility, or variable schedule. No reliable annual visitor count found; included as representative tourism proxy. Opening hours are coarse modeling assumptions for a district, commercial area, or variable facility schedule.",NA,NA,NA,NA,NA,NA,NA,NA,117.7
P0010,Kabuki-za Theatre / Higashi-Ginza,H10,HigashiGinza,66.1,0.726242,35.669669,139.7679383,theatre_culture,performing_arts_theater|event_venue|manufacturer|point_of_interest|establishment,15.887,4.3,10404.0,curated_representative,歌舞伎座 / 東銀座,Hibiya,https://www.kabukiweb.net/theatres/kabukiza/,ChIJbUAZSOeLGGARGMEf4WW16AE,https://maps.google.com/?cid=137559237808079128&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.kabuki-za.co.jp/,performing_arts_theater|event_venue|manufacturer|point_of_interest|establishment,True,NA,high,0,20,20,15,4,5,0,79.887,"score=79.9/110; visitor=0, google=15.9, official=20, scale=20, metro=15, opening=4, mapping=5, penalty=0",Representative theatre/cultural attraction near Higashi-Ginza. No reliable annual visitor count found; included as representative tourism proxy.,NA,NA,NA,NA,NA,NA,NA,NA,32.3
