from_station_id,to_station_id,line,edge_type,distance_km,base_time_min,transfer_time_min
A01,A02,Asakusa Line,train,1.2,2.8,0
A02,A01,Asakusa Line,train,1.2,2.8,0
A02,A03,Asakusa Line,train,0.9,2.4,0
A03,A02,Asakusa Line,train,0.9,2.4,0
A03,A04,Asakusa Line,train,1.1,2.7,0
A04,A03,Asakusa Line,train,1.1,2.7,0
A04,A05,Asakusa Line,train,1.6,3.4,0
A05,A04,Asakusa Line,train,1.6,3.4,0
A05,A06,Asakusa Line,train,0.7,2,0
A06,A05,Asakusa Line,train,0.7,2,0
A06,A07,Asakusa Line,train,1.4,3.1,0
A07,A06,Asakusa Line,train,1.4,3.1,0
A07,A08,Asakusa Line,train,1.1,2.7,0
A08,A07,Asakusa Line,train,1.1,2.7,0
A08,A09,Asakusa Line,train,1.5,3.2,0
A08,I04,Transfer Channel,transfer,0,0,6
A09,A08,Asakusa Line,train,1.5,3.2,0
A09,A10,Asakusa Line,train,1,2.5,0
A09,E20,Transfer Channel,transfer,0,0,6
A10,A09,Asakusa Line,train,1,2.5,0
A10,A11,Asakusa Line,train,0.9,2.4,0
A10,G08,Transfer Channel,transfer,0,0,6
A11,A10,Asakusa Line,train,0.9,2.4,0
A11,A12,Asakusa Line,train,0.8,2.2,0
A11,H09,Transfer Channel,transfer,0,0,6
A12,A11,Asakusa Line,train,0.8,2.2,0
A12,A13,Asakusa Line,train,0.8,2.2,0
A13,A12,Asakusa Line,train,0.8,2.2,0
A13,A14,Asakusa Line,train,0.8,2.2,0
A13,G11,Transfer Channel,transfer,0,0,6
A13,T10,Transfer Channel,transfer,0,0,6
A14,A13,Asakusa Line,train,0.8,2.2,0
A14,A15,Asakusa Line,train,0.7,2,0
A14,H13,Transfer Channel,transfer,0,0,6
A15,A14,Asakusa Line,train,0.7,2,0
A15,A16,Asakusa Line,train,0.7,2,0
A15,S09,Transfer Channel,transfer,0,0,6
A16,A15,Asakusa Line,train,0.7,2,0
A16,A17,Asakusa Line,train,0.7,2,0
A17,A16,Asakusa Line,train,0.7,2,0
A17,A18,Asakusa Line,train,0.9,2.4,0
A17,E11,Transfer Channel,transfer,0,0,6
A18,A17,Asakusa Line,train,0.9,2.4,0
A18,A19,Asakusa Line,train,0.7,2,0
A18,G19,Transfer Channel,transfer,0,0,6
A19,A18,Asakusa Line,train,0.7,2,0
A19,A20,Asakusa Line,train,0.8,2.2,0
A20,A19,Asakusa Line,train,0.8,2.2,0
A20,Z14,Transfer Channel,transfer,0,0,6
C01,C02,Chiyoda Line,train,1,2.5,0
C02,C01,Chiyoda Line,train,1,2.5,0
C02,C03,Chiyoda Line,train,1.2,2.8,0
C03,C02,Chiyoda Line,train,1.2,2.8,0
C03,C04,Chiyoda Line,train,0.9,2.4,0
C03,F15,Transfer Channel,transfer,0,0,6
C04,C03,Chiyoda Line,train,0.9,2.4,0
C04,C05,Chiyoda Line,train,1.4,3.1,0
C04,G02,Transfer Channel,transfer,0,0,6
C04,Z02,Transfer Channel,transfer,0,0,6
C05,C04,Chiyoda Line,train,1.4,3.1,0
C05,C06,Chiyoda Line,train,1.1,2.7,0
C06,C05,Chiyoda Line,train,1.1,2.7,0
C06,C07,Chiyoda Line,train,0.8,2.2,0
C07,C06,Chiyoda Line,train,0.8,2.2,0
C07,C08,Chiyoda Line,train,0.8,2.2,0
C07,M14,Transfer Channel,transfer,0,0,6
C07,N06,Transfer Channel,transfer,0,0,6
C07,G06,Transfer Channel,transfer,0,0,6
C08,C07,Chiyoda Line,train,0.8,2.2,0
C08,C09,Chiyoda Line,train,0.8,2.2,0
C08,M15,Transfer Channel,transfer,0,0,6
C08,H06,Transfer Channel,transfer,0,0,6
C09,C08,Chiyoda Line,train,0.8,2.2,0
C09,C10,Chiyoda Line,train,0.7,2,0
C09,I08,Transfer Channel,transfer,0,0,6
C09,H07,Transfer Channel,transfer,0,0,6
C09,Y18,Transfer Channel,transfer,0,0,6
C10,C09,Chiyoda Line,train,0.7,2,0
C10,C11,Chiyoda Line,train,0.7,2,0
C11,C10,Chiyoda Line,train,0.7,2,0
C11,C12,Chiyoda Line,train,1.3,3,0
C11,I09,Transfer Channel,transfer,0,0,6
C11,M18,Transfer Channel,transfer,0,0,6
C11,Z08,Transfer Channel,transfer,0,0,6
C12,C11,Chiyoda Line,train,1.3,3,0
C12,C13,Chiyoda Line,train,1.2,2.8,0
C12,S07,Transfer Channel,transfer,0,0,6
C12,M19,Transfer Channel,transfer,0,0,6
C13,C12,Chiyoda Line,train,1.2,2.8,0
C13,C14,Chiyoda Line,train,1.2,2.8,0
C14,C13,Chiyoda Line,train,1.2,2.8,0
C14,C15,Chiyoda Line,train,1,2.5,0
C15,C14,Chiyoda Line,train,1,2.5,0
C15,C16,Chiyoda Line,train,0.9,2.4,0
C16,C15,Chiyoda Line,train,0.9,2.4,0
C16,C17,Chiyoda Line,train,1.7,3.5,0
C17,C16,Chiyoda Line,train,1.7,3.5,0
C17,C18,Chiyoda Line,train,2.6,4.9,0
C18,C17,Chiyoda Line,train,2.6,4.9,0
C18,C19,Chiyoda Line,train,2.6,4.9,0
C18,H21,Transfer Channel,transfer,0,0,6
C18,H22,Transfer Channel,transfer,0,0,6
C19,C18,Chiyoda Line,train,2.6,4.9,0
C19,C20,Chiyoda Line,train,2.1,4.2,0
C20,C19,Chiyoda Line,train,2.1,4.2,0
E01,E02,Toei Ōedo Line,train,1.4,3.1,0
E01,S01,Transfer Channel,transfer,0,0,6
E01,M08,Transfer Channel,transfer,0,0,6
E01,E27,Transfer Channel,transfer,0,0,6
E01,E28,Toei Ōedo Line,train,0.8,2.2,0
