station_id,station_name,line,lat,lon,operator
M08,Shinjuku,Marunouchi,35.692452,139.700548,TokyoMetro
C13,Yushima,Chiyoda,35.706805,139.769981,TokyoMetro
C20,KitaAyase,Chiyoda,35.77689,139.832095,TokyoMetro
C01,YoyogiUehara,Chiyoda,35.669017,139.679884,TokyoMetro
G16,Ueno,Ginza,35.711835,139.775625,TokyoMetro
C06,Akasaka,Chiyoda,35.672104,139.736413,TokyoMetro
C19,Ayase,Chiyoda,35.762285,139.82489,TokyoMetro
C09,Hibiya,Chiyoda,35.673955,139.758765,TokyoMetro
C08,Kasumigaseki,Chiyoda,35.67256,139.75177,TokyoMetro
C10,Nijubashimae,Chiyoda,35.680505,139.76178,TokyoMetro
C18,KitaSenju,Chiyoda,35.7492,139.804403,TokyoMetro
C07,KokkaiGijidomae,Chiyoda,35.673566,139.743188,TokyoMetro
C17,Machiya,Chiyoda,35.742068,139.780047,TokyoMetro
C11,Otemachi,Chiyoda,35.68525,139.763285,TokyoMetro
C03,MeijiJingumae,Chiyoda,35.669123,139.703944,TokyoMetro
C14,Nezu,Chiyoda,35.717325,139.76575,TokyoMetro
C16,NishiNippori,Chiyoda,35.732355,139.76689,TokyoMetro
C05,Nogizaka,Chiyoda,35.666592,139.726229,TokyoMetro
C04,OmoteSando,Chiyoda,35.665652,139.711346,TokyoMetro
H18,Ueno,Hibiya,35.711558,139.777061,TokyoMetro
C15,Sendagi,Chiyoda,35.725746,139.763303,TokyoMetro
C12,ShinOchanomizu,Chiyoda,35.696925,139.76545,TokyoMetro
C02,YoyogiKoen,Chiyoda,35.669104,139.689791,TokyoMetro
F03,ChikatetsuAkatsuka,Fukutoshin,35.76998,139.644001,TokyoMetro
F02,ChikatetsuNarimasu,Fukutoshin,35.77674,139.63117,TokyoMetro
F04,Heiwadai,Fukutoshin,35.757555,139.6543,TokyoMetro
F12,HigashiShinjuku,Fukutoshin,35.699829,139.707846,TokyoMetro
G03,Gaiemmae,Ginza,35.670375,139.717825,TokyoMetro
F05,Hikawadai,Fukutoshin,35.74962,139.66547,TokyoMetro
F11,NishiWaseda,Fukutoshin,35.707806,139.70912,TokyoMetro
F09,Ikebukuro,Fukutoshin,35.730345,139.71115,TokyoMetro
F08,Kanamecho,Fukutoshin,35.733215,139.69848,TokyoMetro
F14,KitaSando,Fukutoshin,35.678503,139.705469,TokyoMetro
F06,KotakeMukaihara,Fukutoshin,35.743395,139.67952,TokyoMetro
F15,MeijiJingumae,Fukutoshin,35.668205,139.70524,TokyoMetro
F07,Senkawa,Fukutoshin,35.738175,139.6894,TokyoMetro
F16,Shibuya,Fukutoshin,35.659092,139.70257,TokyoMetro
F13,ShinjukuSanchome,Fukutoshin,35.690609,139.704727,TokyoMetro
F01,Wakoshi,Fukutoshin,35.78835,139.612865,TokyoMetro
F10,Zoshigaya,Fukutoshin,35.7202,139.714715,TokyoMetro
G05,AkasakaMitsuke,Ginza,35.676845,139.737347,TokyoMetro
G04,AoyamaItchome,Ginza,35.67279,139.724145,TokyoMetro
G19,Asakusa,Ginza,35.710746,139.797774,TokyoMetro
Mb03,Honancho,MarunouchiBranch,35.683515,139.657935,TokyoMetro
G09,Ginza,Ginza,35.6715,139.765366,TokyoMetro
G17,Inaricho,Ginza,35.711389,139.78221,TokyoMetro
G13,Kanda,Ginza,35.693715,139.77089,TokyoMetro
G10,Kyobashi,Ginza,35.676704,139.77011,TokyoMetro
M24,ShinOtsuka,Marunouchi,35.72613,139.729354,TokyoMetro
G12,Mitsukoshimae,Ginza,35.687173,139.773582,TokyoMetro
G11,Nihombashi,Ginza,35.681879,139.773335,TokyoMetro
G02,OmoteSando,Ginza,35.665042,139.712473,TokyoMetro
G01,Shibuya,Ginza,35.659097,139.702673,TokyoMetro
G07,Toranomon,Ginza,35.67016,139.75012,TokyoMetro
G15,UenoHirokoji,Ginza,35.707765,139.773011,TokyoMetro
G08,Shimbashi,Ginza,35.667382,139.758512,TokyoMetro
G14,Suehirocho,Ginza,35.70278,139.771762,TokyoMetro
Z06,Kudanshita,Hanzomon,35.695501,139.751117,TokyoMetro
G06,TameikeSanno,Ginza,35.671511,139.741943,TokyoMetro
G18,Tawaramachi,Ginza,35.709917,139.790306,TokyoMetro
Z03,AoyamaItchome,Hanzomon,35.672956,139.724075,TokyoMetro
Z05,Hanzomon,Hanzomon,35.68538,139.741695,TokyoMetro
Z07,Jimbocho,Hanzomon,35.696021,139.75756,TokyoMetro
Z13,Kinshicho,Hanzomon,35.697441,139.814957,TokyoMetro
H03,HiroO,Hibiya,35.651499,139.722209,TokyoMetro
Z11,KiyosumiShirakawa,Hanzomon,35.682119,139.799841,TokyoMetro
Z09,Mitsukoshimae,Hanzomon,35.684928,139.77308,TokyoMetro
Z04,Nagatacho,Hanzomon,35.678407,139.738865,TokyoMetro
Z02,OmoteSando,Hanzomon,35.665143,139.712383,TokyoMetro
Z14,Oshiage,Hanzomon,35.708467,139.813735,TokyoMetro
Z08,Otemachi,Hanzomon,35.686745,139.764905,TokyoMetro
Z01,Shibuya,Hanzomon,35.65945,139.701035,TokyoMetro
Z10,Suitengumae,Hanzomon,35.683,139.785171,TokyoMetro
Z12,Sumiyoshi,Hanzomon,35.688704,139.815667,TokyoMetro
H10,HigashiGinza,Hibiya,35.669129,139.767633,TokyoMetro
H16,Akihabara,Hibiya,35.697965,139.775529,TokyoMetro
H02,Ebisu,Hibiya,35.64704,139.708701,TokyoMetro
H09,Ginza,Hibiya,35.671983,139.764007,TokyoMetro
H12,Hatchobori,Hibiya,35.675368,139.777334,TokyoMetro
H08,Hibiya,Hibiya,35.674271,139.7606,TokyoMetro
H19,Iriya,Hibiya,35.720565,139.784466,TokyoMetro
H05,Kamiyacho,Hibiya,35.662625,139.744725,TokyoMetro
H15,Kodemmacho,Hibiya,35.690423,139.778758,TokyoMetro
H07,Kasumigaseki,Hibiya,35.673875,139.75106,TokyoMetro
H13,Kayabacho,Hibiya,35.679078,139.779619,TokyoMetro
M23,Myogadani,Marunouchi,35.7172,139.736895,TokyoMetro
H22,KitaSenju,Hibiya,35.749904,139.805591,TokyoMetro
H21,MinamiSenju,Hibiya,35.73231,139.79878,TokyoMetro
