from_station_id,to_station_id,fare_yen,fare_source
A01,A02,188,Calculated via Official Fare Rules & Distance
A01,A03,188,Calculated via Official Fare Rules & Distance
A01,A04,188,Calculated via Official Fare Rules & Distance
A01,A05,230,Calculated via Official Fare Rules & Distance
A01,A06,230,Calculated via Official Fare Rules & Distance
A01,A07,230,Calculated via Official Fare Rules & Distance
A01,A08,230,Calculated via Official Fare Rules & Distance
A01,A09,282,Calculated via Official Fare Rules & Distance
A01,A10,282,Calculated via Official Fare Rules & Distance
A01,A11,282,Calculated via Official Fare Rules & Distance
A01,A12,282,Calculated via Official Fare Rules & Distance
A01,A13,364,Calculated via Official Fare Rules & Distance
A01,A14,364,Calculated via Official Fare Rules & Distance
A01,A15,364,Calculated via Official Fare Rules & Distance
A01,A16,364,Calculated via Official Fare Rules & Distance
A01,A17,364,Calculated via Official Fare Rules & Distance
A01,A18,364,Calculated via Official Fare Rules & Distance
A01,A19,364,Calculated via Official Fare Rules & Distance
A01,A20,416,Calculated via Official Fare Rules & Distance
A01,C01,416,Calculated via Official Fare Rules & Distance
A01,C02,364,Calculated via Official Fare Rules & Distance
A01,C03,364,Calculated via Official Fare Rules & Distance
A01,C04,364,Calculated via Official Fare Rules & Distance
A01,C05,364,Calculated via Official Fare Rules & Distance
A01,C06,364,Calculated via Official Fare Rules & Distance
A01,C07,338,Calculated via Official Fare Rules & Distance
A01,C08,338,Calculated via Official Fare Rules & Distance
A01,C09,282,Calculated via Official Fare Rules & Distance
A01,C10,338,Calculated via Official Fare Rules & Distance
A01,C11,282,Calculated via Official Fare Rules & Distance
A01,C12,364,Calculated via Official Fare Rules & Distance
A01,C13,364,Calculated via Official Fare Rules & Distance
A01,C14,364,Calculated via Official Fare Rules & Distance
A01,C15,364,Calculated via Official Fare Rules & Distance
A01,C16,364,Calculated via Official Fare Rules & Distance
A01,C17,416,Calculated via Official Fare Rules & Distance
A01,C18,416,Calculated via Official Fare Rules & Distance
A01,C19,416,Calculated via Official Fare Rules & Distance
A01,C20,464,Calculated via Official Fare Rules & Distance
A01,E01,364,Calculated via Official Fare Rules & Distance
A01,E02,364,Calculated via Official Fare Rules & Distance
A01,E03,364,Calculated via Official Fare Rules & Distance
A01,E04,364,Calculated via Official Fare Rules & Distance
A01,E05,364,Calculated via Official Fare Rules & Distance
A01,E06,364,Calculated via Official Fare Rules & Distance
A01,E07,364,Calculated via Official Fare Rules & Distance
A01,E08,364,Calculated via Official Fare Rules & Distance
A01,E09,364,Calculated via Official Fare Rules & Distance
A01,E10,364,Calculated via Official Fare Rules & Distance
A01,E11,364,Calculated via Official Fare Rules & Distance
A01,E12,364,Calculated via Official Fare Rules & Distance
A01,E13,364,Calculated via Official Fare Rules & Distance
A01,E14,364,Calculated via Official Fare Rules & Distance
A01,E15,335,Calculated via Official Fare Rules & Distance
A01,E16,282,Calculated via Official Fare Rules & Distance
A01,E17,282,Calculated via Official Fare Rules & Distance
A01,E18,282,Calculated via Official Fare Rules & Distance
A01,E19,282,Calculated via Official Fare Rules & Distance
A01,E20,282,Calculated via Official Fare Rules & Distance
A01,E21,282,Calculated via Official Fare Rules & Distance
A01,E22,282,Calculated via Official Fare Rules & Distance
A01,E23,282,Calculated via Official Fare Rules & Distance
A01,E24,282,Calculated via Official Fare Rules & Distance
A01,E25,335,Calculated via Official Fare Rules & Distance
A01,E26,335,Calculated via Official Fare Rules & Distance
A01,E27,364,Calculated via Official Fare Rules & Distance
A01,E28,364,Calculated via Official Fare Rules & Distance
