from_station_id,to_station_id,route_path,lines_used,transfer_stations,transfer_count,in_train_time_min,transfer_time_min
A01,A02,A01→A02,A,NA,0,2.8,0
A01,A03,A01→A02→A03,A,NA,0,5.2,0
A01,A04,A01→A02→A03→A04,A,NA,0,7.9,0
A01,A05,A01→A02→A03→A04→A05,A,NA,0,11.3,0
A01,A06,A01→A02→A03→A04→A05→A06,A,NA,0,13.3,0
A01,A07,A01→A02→A03→A04→A05→A06→A07,A,NA,0,16.4,0
A01,A08,A01→A02→A03→A04→A05→A06→A07→A08,A,NA,0,19.1,0
A01,A09,A01→A02→A03→A04→A05→A06→A07→A08→A09,A,NA,0,22.3,0
A01,A10,A01→A02→A03→A04→A05→A06→A07→A08→A09→A10,A,NA,0,24.8,0
A01,A11,A01→A02→A03→A04→A05→A06→A07→A08→A09→A10→A11,A,NA,0,27.2,0
A01,A12,A01→A02→A03→A04→A05→A06→A07→A08→A09→A10→A11→A12,A,NA,0,29.4,0
A01,A13,A01→A02→A03→A04→A05→A06→A07→A08→A09→A10→G08→G09→G10→G11→A13,"A,G","A10,G11",2,31.2,12
A01,A14,A01→A02→A03→A04→A05→A06→A07→A08→A09→A10→G08→G09→G10→G11→A13→A14,"A,G","A10,G11",2,33.4,12
A01,A15,A01→A02→A03→A04→A05→A06→A07→A08→A09→A10→G08→G09→G10→G11→A13→A14→A15,"A,G","A10,G11",2,35.4,12
A01,A16,A01→A02→A03→A04→A05→A06→A07→A08→A09→A10→G08→G09→G10→G11→A13→A14→A15→A16,"A,G","A10,G11",2,37.4,12
A01,A17,A01→A02→A03→A04→A05→A06→A07→A08→A09→A10→G08→G09→G10→G11→A13→A14→A15→A16→A17,"A,G","A10,G11",2,39.4,12
A01,A18,A01→A02→A03→A04→A05→A06→A07→A08→A09→A10→G08→G09→G10→G11→A13→A14→A15→A16→A17→A18,"A,G","A10,G11",2,41.8,12
A01,A19,A01→A02→A03→A04→A05→A06→A07→A08→A09→A10→G08→G09→G10→G11→A13→A14→A15→A16→A17→A18→A19,"A,G","A10,G11",2,43.8,12
A01,A20,A01→A02→A03→A04→A05→A06→A07→A08→A09→A10→G08→G09→G10→G11→A13→A14→A15→A16→A17→A18→A19→A20,"A,G","A10,G11",2,46,12
A01,C01,A01→A02→A03→A04→A05→A06→A07→A08→A09→A10→G08→G07→G06→C07→C06→C05→C04→C03→C02→C01,"A,C,G","A10,G06",2,44.6,12
A01,C02,A01→A02→A03→A04→A05→A06→A07→A08→A09→A10→G08→G07→G06→C07→C06→C05→C04→C03→C02,"A,C,G","A10,G06",2,42.1,12
A01,C03,A01→A02→A03→A04→A05→A06→A07→A08→A09→A10→G08→G07→G06→C07→C06→C05→C04→C03,"A,C,G","A10,G06",2,39.3,12
A01,C04,A01→A02→A03→A04→A05→A06→A07→A08→A09→A10→G08→G07→G06→C07→C06→C05→C04,"A,C,G","A10,G06",2,36.9,12
A01,C05,A01→A02→A03→A04→A05→A06→A07→A08→A09→A10→G08→G07→G06→C07→C06→C05,"A,C,G","A10,G06",2,33.8,12
A01,C06,A01→A02→A03→A04→A05→A06→A07→A08→A09→A10→G08→G07→G06→C07→C06,"A,C,G","A10,G06",2,31.1,12
A01,C07,A01→A02→A03→A04→A05→A06→A07→A08→A09→A10→G08→G07→G06→C07,"A,G","A10,G06",2,28.9,12
A01,C08,A01→A02→A03→A04→A05→A06→A07→A08→I04→I05→I06→I07→I08→H07→H06→C08,"H,A,I","A08,I08,H06",3,29.9,18
A01,C09,A01→A02→A03→A04→A05→A06→A07→A08→I04→I05→I06→I07→I08→C09,"A,I","A08,I08",2,28.1,12
A01,C10,A01→A02→A03→A04→A05→A06→A07→A08→I04→I05→I06→I07→I08→C09→C10,"A,C,I","A08,I08",2,30.1,12
A01,C11,A01→A02→A03→A04→A05→A06→A07→A08→I04→I05→I06→I07→I08→I09→C11,"A,I","A08,I09",2,30.5,12
A01,C12,A01→A02→A03→A04→A05→A06→A07→A08→I04→I05→I06→I07→I08→I09→M18→M19→C12,"A,M,I","A08,I09,M19",3,32.9,18
A01,C13,A01→A02→A03→A04→A05→A06→A07→A08→I04→I05→I06→I07→I08→I09→M18→M19→C12→C13,"A,C,M,I","A08,I09,M19",3,35.7,18
A01,C14,A01→A02→A03→A04→A05→A06→A07→A08→I04→I05→I06→I07→I08→I09→M18→M19→C12→C13→C14,"A,C,M,I","A08,I09,M19",3,38.5,18
A01,C15,A01→A02→A03→A04→A05→A06→A07→A08→I04→I05→I06→I07→I08→I09→M18→M19→C12→C13→C14→C15,"A,C,M,I","A08,I09,M19",3,41,18
A01,C16,A01→A02→A03→A04→A05→A06→A07→A08→I04→I05→I06→I07→I08→I09→M18→M19→C12→C13→C14→C15→C16,"A,C,M,I","A08,I09,M19",3,43.4,18
