date,avg_temp_c,max_temp_c,min_temp_c,rain_mm,humidity,weather_condition,rain_severity,heat_severity
2024-01-01,9.2,12.5,4.4,0.0,48.0,快晴,0.0,0.0
2024-01-02,6.1,9.2,2.8,0.0,65.0,曇時々雨一時晴,0.3,0.0
2024-01-03,7.4,11.0,2.8,0.0,72.0,曇,0.3,0.0
2024-01-04,9.7,15.3,6.3,0.0,58.0,晴一時曇,0.0,0.0
2024-01-05,7.4,13.6,2.9,0.0,57.0,快晴,0.0,0.0
2024-01-06,9.1,15.6,3.0,0.0,61.0,快晴,0.0,0.0
2024-01-07,8.3,12.7,5.7,0.0,53.0,晴後時々曇,0.0,0.0
2024-01-08,5.4,10.2,2.7,0.0,43.0,快晴,0.0,0.0
2024-01-09,5.4,11.0,1.5,0.0,49.0,快晴,0.0,0.0
2024-01-10,7.2,12.3,1.7,0.0,52.0,晴後薄曇,0.0,0.0
2024-01-11,4.8,7.2,1.8,0.0,51.0,曇,0.0,0.0
2024-01-12,7.1,13.7,0.1,0.0,53.0,快晴,0.0,0.0
2024-01-13,5.9,11.7,1.2,2.0,59.0,晴時々曇一時雪、雷を伴う,0.3,0.0
2024-01-14,6.4,10.5,0.2,0.0,49.0,快晴,0.0,0.0
2024-01-15,6.3,11.4,2.4,0.0,44.0,晴,0.0,0.0
2024-01-16,3.7,7.0,0.0,0.0,43.0,晴,0.0,0.0
2024-01-17,6.2,12.2,0.8,0.0,48.0,快晴,0.0,0.0
2024-01-18,8.5,13.4,2.5,0.0,49.0,晴後曇,0.0,0.0
2024-01-19,10.2,15.1,7.6,0.0,58.0,薄曇時々晴,0.0,0.0
2024-01-20,6.3,7.6,4.6,2.5,69.0,曇後雨,0.3,0.0
2024-01-21,8.1,12.1,4.6,31.5,90.0,雨後時々曇一時晴,0.7,0.0
2024-01-22,10.7,14.6,6.7,0.0,76.0,曇時々晴一時雨,0.3,0.0
2024-01-23,9.0,13.9,5.5,0.0,65.0,晴時々薄曇,0.0,0.0
2024-01-24,4.5,8.4,1.1,0.0,31.0,晴一時薄曇,0.0,0.0
2024-01-25,4.2,9.6,-1.1,0.0,30.0,快晴,0.0,0.0
2024-01-26,6.2,12.0,1.8,0.0,35.0,快晴,0.0,0.0
2024-01-27,7.2,12.2,2.9,0.0,38.0,快晴,0.0,0.0
2024-01-28,6.0,9.6,2.8,0.0,50.0,曇,0.0,0.0
2024-01-29,6.8,11.9,2.4,0.0,51.0,快晴,0.0,0.0
2024-01-30,7.7,13.3,4.0,0.0,52.0,晴,0.0,0.0
2024-01-31,9.3,14.1,2.7,0.0,63.0,快晴,0.3,0.0
2024-02-01,9.8,16.3,5.0,0.0,48.0,晴時々曇,0.0,0.0
2024-02-02,5.0,7.6,3.3,0.0,43.0,曇,0.0,0.0
2024-02-03,6.9,11.7,3.4,0.0,44.0,晴,0.3,0.0
2024-02-04,4.9,6.9,2.6,5.0,77.0,雨後曇,0.3,0.0
2024-02-05,3.0,6.2,0.3,35.0,75.0,曇後雪時々雨一時みぞれ,0.7,0.0
2024-02-06,3.4,5.4,0.8,2.0,93.0,雨後時々曇,0.3,0.0
2024-02-07,4.7,9.6,-0.1,0.0,69.0,快晴,0.0,0.0
2024-02-08,5.7,11.3,1.2,0.0,59.0,晴時々曇,0.0,0.0
2024-02-09,6.8,11.3,2.5,0.0,56.0,薄曇時々晴,0.0,0.0
2024-02-10,7.1,12.4,1.8,0.0,61.0,晴一時薄曇,0.0,0.0
2024-02-11,8.1,12.8,4.3,0.0,47.0,晴後一時曇,0.3,0.0
2024-02-12,7.3,12.7,3.6,0.0,50.0,晴一時曇,0.0,0.0
2024-02-13,9.6,17.3,1.6,0.0,52.0,快晴,0.0,0.0
2024-02-14,10.9,18.5,4.2,0.0,45.0,晴後曇,0.0,0.0
2024-02-15,14.4,21.1,6.1,0.0,63.0,薄曇後時々晴,0.3,0.0
2024-02-16,10.6,17.0,6.2,0.0,46.0,晴一時薄曇,0.0,0.0
2024-02-17,9.0,13.6,4.6,0.0,58.0,曇,0.3,0.0
2024-02-18,13.4,18.8,9.2,0.0,69.0,晴一時曇,0.3,0.0
2024-02-19,15.0,17.2,12.8,5.0,85.0,雨一時曇,0.3,0.0
2024-02-20,18.1,23.7,12.8,0.0,78.0,曇一時晴,0.3,0.0
2024-02-21,8.7,13.2,7.3,5.5,91.0,雨,0.3,0.0
2024-02-22,5.5,8.0,3.6,6.5,95.0,雨一時曇,0.3,0.0
2024-02-23,2.8,4.0,1.7,6.5,93.0,雨一時みぞれ,0.3,0.0
2024-02-24,5.3,10.3,1.2,0.0,60.0,薄曇時々晴,0.0,0.0
2024-02-25,4.4,5.8,3.5,8.5,84.0,雨一時曇,0.3,0.0
2024-02-26,7.8,13.3,4.8,0.5,57.0,晴一時薄曇,0.3,0.0
2024-02-27,7.0,11.4,4.1,0.0,39.0,快晴,0.0,0.0
2024-02-28,8.3,14.4,4.1,0.0,40.0,快晴,0.0,0.0
2024-02-29,7.6,11.8,3.5,4.0,62.0,曇後一時雨,0.3,0.0
2024-03-01,9.9,16.4,3.7,15.5,68.0,晴時々曇一時雨,0.31,0.0
2024-03-02,6.3,10.1,3.9,0.0,38.0,曇一時晴,0.0,0.0
2024-03-03,7.5,13.4,1.2,0.0,41.0,快晴,0.0,0.0
2024-03-04,9.4,15.7,2.9,0.0,41.0,快晴,0.0,0.0
2024-03-05,6.4,9.1,2.0,19.0,71.0,曇後雨,0.38,0.0
2024-03-06,5.6,10.4,2.0,11.0,83.0,雨後曇,0.3,0.0
2024-03-07,6.9,10.7,4.9,0.0,56.0,曇後一時晴,0.3,0.0
2024-03-08,4.5,9.4,0.4,19.0,88.0,曇時々雨一時雪,0.38,0.0
2024-03-09,6.1,11.2,2.6,0.0,53.0,快晴,0.0,0.0
2024-03-10,6.7,13.6,0.5,0.0,40.0,快晴,0.0,0.0
